-1 1 2 3
2 1 0 0
-1 0 2 3
2 1 0 0
-2 -1 1 3
2 2 0 0
-2 -2 0 2
2 1 0 0
-3 -3 -1 1
2 1 0 0
-3 -4 -2 0
1 1 0 0
-3 -5 -3 -1
0 0 0 -1
-3 -5 -5 -3
-1 0 -1 -1
-2 -5 -6 -4
-2 -1 -1 -1
-1 -4 -6 -6
-4 -2 -2 -2
0 -4 -6 -7
-5 -4 -3 -3
0 -3 -6 -8
-7 -5 -4 -3
1 -2 -5 -8
-8 -6 -5 -4
2 -1 -5 -8
-9 -8 -6 -5
2 0 -3 -7
-9 -9 -7 -5
2 1 -2 -7
-10 -10 -9 -6
2 2 -1 -5
-9 -11 -10 -7
2 3 0 -4
-9 -11 -11 -8
1 3 2 -2
-8 -11 -11 -9
1 3 3 0
-7 -11 -12 -10
1 2 4 1
-5 -10 -12 -10
0 2 4 3
-3 -9 -12 -11
0 2 4 4
-1 -8 -11 -11
0 1 3 4
0 -6 -11 -11
-1 0 3 4
1 -4 -9 -11
0 0 2 4
3 -2 -8 -10
0 0 1 4
3 0 -6 -9
0 0 0 3
4 1 -4 -7
0 0 0 2
4 2 -3 -6
0 0 0 2
3 2 -2 -4
0 0 0 1
2 2 -1 -3
0 0 0 0
1 1 0 -1
